Player,Overs,Mdns,Runs conceded,Wickets taken,Econ,Team,Inns,Opposition,Ground,Match Date,Scorecard
AS Joseph,3.4,1,12,6,3.27,MI,2,v SRH,Hyderabad,06 Apr 2019,Twenty20
Sohail Tanvir,4.0,-,14,6,3.5,RR,1,v CSK,Jaipur,04 May 2008,Twenty20
A Zampa,4.0,-,19,6,4.75,Supergiants,1,v SRH,Visakhapatnam,10 May 2016,Twenty20
A Kumble,3.1,1,5,5,1.57,RCB,2,v RR,Cape Town,18 Apr 2009,Twenty20
A Madhwal,3.3,-,5,5,1.42,MI,2,v LSG,Chennai,24 May 2023,Twenty20
JJ Bumrah,4.0,1,10,5,2.5,MI,1,v KKR,DY Patil,09 May 2022,Twenty20
MM Sharma,2.2,-,10,5,4.28,GT,2,v MI,Ahmedabad,26 May 2023,Twenty20
I Sharma,3.0,-,12,5,4.0,Chargers,2,v Kochi,Kochi,27 Apr 2011,Twenty20
SL Malinga,3.4,1,13,5,3.54,MI,1,v Daredevils,Delhi,10 Apr 2011,Twenty20
AS Rajpoot,4.0,-,14,5,3.5,Kings XI,1,v SRH,Hyderabad,26 Apr 2018,Twenty20
MA Wood,4.0,-,14,5,3.5,LSG,2,v DC,Lucknow,01 Apr 2023,Twenty20
AD Russell,2.0,-,15,5,7.5,KKR,1,v MI,Chennai,13 Apr 2021,Twenty20
RA Jadeja,4.0,-,16,5,4.0,CSK,2,v Chargers,Visakhapatnam,07 Apr 2012,Twenty20
JP Faulkner,4.0,1,16,5,4.0,RR,1,v SRH,Hyderabad,17 May 2013,Twenty20
A Mishra,4.0,-,17,5,4.25,Daredevils,2,v Chargers,Delhi,15 May 2008,Twenty20
AJ Tye,4.0,-,17,5,4.25,Guj Lions,1,v Supergiant,Rajkot,14 Apr 2017,Twenty20
Harbhajan Singh,4.0,-,18,5,4.5,MI,2,v CSK,Wankhede,22 Apr 2011,Twenty20
PW Hasaranga,4.0,1,18,5,4.5,RCB,2,v SRH,Wankhede,08 May 2022,Twenty20
Sandeep Sharma,4.0,-,18,5,4.5,RR,1,v MI,Jaipur,22 Apr 2024,Twenty20
SP Narine,4.0,-,19,5,4.75,KKR,1,v Kings XI,Eden Gardens,15 Apr 2012,Twenty20
B Kumar,4.0,-,19,5,4.75,SRH,2,v Kings XI,Hyderabad,17 Apr 2017,Twenty20
JP Faulkner,4.0,-,20,5,5.0,RR,1,v SRH,Jaipur,27 Apr 2013,Twenty20
CV Varun,4.0,-,20,5,5.0,KKR,2,v DC,Abu Dhabi,24 Oct 2020,Twenty20
MM Patel,4.0,-,21,5,5.25,MI,1,v Kings XI,Mohali,10 May 2011,Twenty20
