Player,Runs,Mins,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date,Scorecard
CH Gayle,175*,102,66,13,17,265.15,RCB,v Warriors,Bengaluru,23 Apr 2013,Twenty20
BB McCullum,158*,-,73,10,13,216.43,KKR,v RCB,Bengaluru,18 Apr 2008,Twenty20
Q de Kock,140*,97,70,10,10,200.0,LSG,v KKR,DY Patil,18 May 2022,Twenty20
AB de Villiers,133*,82,59,19,4,225.42,RCB,v MI,Wankhede,10 May 2015,Twenty20
KL Rahul,132*,-,69,14,7,191.3,Kings XI,v RCB,Dubai (DICS),24 Sep 2020,Twenty20
AB de Villiers,129*,78,52,10,12,248.07,RCB,v Guj Lions,Bengaluru,14 May 2016,Twenty20
Shubman Gill,129,86,60,7,10,215.0,GT,v MI,Ahmedabad,26 May 2023,Twenty20
CH Gayle,128*,95,62,7,13,206.45,RCB,v Daredevils,Delhi,17 May 2012,Twenty20
RR Pant,128*,-,63,15,7,203.17,Daredevils,v SRH,Delhi,10 May 2018,Twenty20
M Vijay,127,-,56,8,11,226.78,CSK,v RR,Chennai,03 Apr 2010,Twenty20
DA Warner,126,80,59,10,8,213.55,SRH,v KKR,Hyderabad,30 Apr 2017,Twenty20
MP Stoinis,124*,104,63,13,6,196.82,LSG,v CSK,Chennai,23 Apr 2024,Twenty20
JC Buttler,124,95,64,11,8,193.75,RR,v SRH,Delhi,02 May 2021,Twenty20
YBK Jaiswal,124,112,62,16,8,200.0,RR,v MI,Wankhede,30 Apr 2023,Twenty20
V Sehwag,122,-,58,12,8,210.34,Kings XI,v CSK,Wankhede,30 May 2014,Twenty20
PC Valthaty,120*,-,63,19,2,190.47,Kings XI,v CSK,Mohali,13 Apr 2011,Twenty20
V Sehwag,119,-,56,13,6,212.5,Daredevils,v Chargers,Hyderabad,05 May 2011,Twenty20
SV Samson,119,112,63,12,7,188.88,RR,v Punjab Kings,Wankhede,12 Apr 2021,Twenty20
A Symonds,117*,-,53,11,7,220.75,Chargers,v RR,Hyderabad,24 Apr 2008,Twenty20
SR Watson,117*,-,57,11,8,205.26,CSK,v SRH,Wankhede,27 May 2018,Twenty20
CH Gayle,117,84,57,7,12,205.26,RCB,v Kings XI,Bengaluru,06 May 2015,Twenty20
MEK Hussey,116*,-,54,8,9,214.81,CSK,v Kings XI,Mohali,19 Apr 2008,Twenty20
JC Buttler,116,103,65,9,9,178.46,RR,v DC,Wankhede,22 Apr 2022,Twenty20
WP Saha,115*,66,55,10,8,209.09,Kings XI,v KKR,Bengaluru,01 Jun 2014,Twenty20
SE Marsh,115,-,69,11,7,166.66,Kings XI,v RR,Mohali,28 May 2008,Twenty20
ST Jayasuriya,114*,-,48,9,11,237.5,MI,v CSK,Wankhede,14 May 2008,Twenty20
MK Pandey,114*,-,73,10,4,156.16,RCB,v Chargers,Centurion,21 May 2009,Twenty20
JM Bairstow,114,76,56,12,7,203.57,SRH,v RCB,Hyderabad,31 Mar 2019,Twenty20
V Kohli,113*,94,72,12,4,156.94,RCB,v RR,Jaipur,06 Apr 2024,Twenty20
M Vijay,113,-,58,15,4,194.82,CSK,v Daredevils,Chennai,25 May 2012,Twenty20
V Kohli,113,-,50,12,8,226.0,RCB,v Kings XI,Bengaluru,18 May 2016,Twenty20
RM Patidar,112*,100,54,12,7,207.4,RCB,v LSG,Eden Gardens,25 May 2022,Twenty20
DPMD Jayawardene,110*,-,59,14,3,186.44,Kings XI,v KKR,Eden Gardens,04 Apr 2010,Twenty20
AC Gilchrist,109*,-,47,9,10,231.91,Chargers,v MI,DY Patil,27 Apr 2008,Twenty20
DA Warner,109*,79,54,10,7,201.85,Daredevils,v Chargers,Hyderabad,10 May 2012,Twenty20
RG Sharma,109*,76,60,12,5,181.66,MI,v KKR,Eden Gardens,12 May 2012,Twenty20
V Kohli,109,94,55,5,8,198.18,RCB,v Guj Lions,Bengaluru,14 May 2016,Twenty20
SP Narine,109,89,56,13,6,194.64,KKR,v RR,Eden Gardens,16 Apr 2024,Twenty20
V Kohli,108*,98,58,8,7,186.2,RCB,v Supergiants,Bengaluru,07 May 2016,Twenty20
RD Gaikwad,108*,102,60,12,3,180.0,CSK,v LSG,Chennai,23 Apr 2024,Twenty20
JM Bairstow,108*,91,48,8,9,225.0,Punjab Kings,v KKR,Eden Gardens,26 Apr 2024,Twenty20
Q de Kock,108,94,51,15,3,211.76,Daredevils,v RCB,Bengaluru,17 Apr 2016,Twenty20
DA Warner,107*,-,69,9,5,155.07,Daredevils,v KKR,Delhi,29 Mar 2010,Twenty20
BA Stokes,107*,-,60,14,3,178.33,RR,v MI,Abu Dhabi,25 Oct 2020,Twenty20
JC Buttler,107*,113,60,9,6,178.33,RR,v KKR,Eden Gardens,16 Apr 2024,Twenty20
CH Gayle,107,68,49,10,9,218.36,RCB,v Kings XI,Bengaluru,06 May 2011,Twenty20
S Dhawan,106*,-,61,12,3,173.77,DC,v Kings XI,Dubai (DICS),20 Oct 2020,Twenty20
JC Buttler,106*,86,60,10,6,176.66,RR,v RCB,Ahmedabad,27 May 2022,Twenty20
AC Gilchrist,106,-,55,8,9,192.72,Kings XI,v RCB,Dharamsala,17 May 2011,Twenty20
SR Watson,106,-,57,9,6,185.96,CSK,v RR,Pune,20 Apr 2018,Twenty20
MA Agarwal,106,-,50,10,7,212.0,Kings XI,v RR,Sharjah,27 Sep 2020,Twenty20
AB de Villiers,105*,-,54,5,6,194.44,Daredevils,v CSK,Durban,23 Apr 2009,Twenty20
AM Rahane,105*,100,63,11,3,166.66,RR,v DC,Jaipur,22 Apr 2019,Twenty20
RG Sharma,105*,99,63,11,5,166.66,MI,v CSK,Wankhede,14 Apr 2024,Twenty20
SR Watson,104*,105,59,9,5,176.27,RR,v KKR,Brabourne,16 May 2015,Twenty20
HM Amla,104*,95,60,8,6,173.33,Kings XI,v MI,Indore,20 Apr 2017,Twenty20
CH Gayle,104*,-,63,1,11,165.07,Kings XI,v SRH,Mohali,19 Apr 2018,Twenty20
Shubman Gill,104*,97,52,5,8,200.0,GT,v RCB,Bengaluru,21 May 2023,Twenty20
YBK Jaiswal,104*,88,60,9,7,173.33,RR,v MI,Jaipur,22 Apr 2024,Twenty20
HM Amla,104,90,60,8,5,173.33,Kings XI,v Guj Lions,Mohali,07 May 2017,Twenty20
VR Iyer,104,82,51,6,9,203.92,KKR,v MI,Wankhede,16 Apr 2023,Twenty20
H Klaasen,104,62,51,8,6,203.92,SRH,v RCB,Hyderabad,18 May 2023,Twenty20
Shubman Gill,104,89,55,9,6,189.09,GT,v CSK,Ahmedabad,10 May 2024,Twenty20
AM Rahane,103*,86,60,12,5,171.66,RR,v RCB,Bengaluru,15 Apr 2012,Twenty20
KP Pietersen,103*,92,64,6,9,160.93,Daredevils,v Chargers,Delhi,19 Apr 2012,Twenty20
BA Stokes,103*,85,63,7,6,163.49,Supergiant,v Guj Lions,Pune,01 May 2017,Twenty20
KL Rahul,103*,103,60,9,5,171.66,LSG,v MI,Brabourne,16 Apr 2022,Twenty20
KL Rahul,103*,106,62,12,4,166.12,LSG,v MI,Wankhede,24 Apr 2022,Twenty20
SA Yadav,103*,73,49,11,6,210.2,MI,v GT,Wankhede,12 May 2023,Twenty20
JC Buttler,103,93,61,9,5,168.85,RR,v KKR,Brabourne,18 Apr 2022,Twenty20
Prabhsimran Singh,103,87,65,10,6,158.46,Punjab Kings,v DC,Delhi,13 May 2023,Twenty20
B Sai Sudharsan,103,84,51,5,7,201.96,GT,v CSK,Ahmedabad,10 May 2024,Twenty20
CH Gayle,102*,-,55,10,7,185.45,RCB,v KKR,Eden Gardens,22 Apr 2011,Twenty20
SV Samson,102*,85,55,10,4,185.45,RR,v SRH,Hyderabad,29 Mar 2019,Twenty20
SA Yadav,102*,68,51,12,6,200.0,MI,v SRH,Wankhede,06 May 2024,Twenty20
SV Samson,102,82,63,8,5,161.9,Daredevils,v Supergiant,Pune,11 Apr 2017,Twenty20
TM Head,102,58,41,9,8,248.78,SRH,v RCB,Bengaluru,15 Apr 2024,Twenty20
DA Miller,101*,54,38,8,7,265.78,Kings XI,v RCB,Mohali,06 May 2013,Twenty20
S Dhawan,101*,-,58,14,1,174.13,DC,v CSK,Sharjah,17 Oct 2020,Twenty20
D Padikkal,101*,74,52,11,6,194.23,RCB,v RR,Wankhede,22 Apr 2021,Twenty20
RD Gaikwad,101*,113,60,9,5,168.33,CSK,v RR,Abu Dhabi,02 Oct 2021,Twenty20
V Kohli,101*,102,61,13,1,165.57,RCB,v GT,Bengaluru,21 May 2023,Twenty20
SR Watson,101,82,61,6,6,165.57,RR,v CSK,Chennai,22 Apr 2013,Twenty20
SPD Smith,101,77,54,8,5,187.03,Supergiants,v Guj Lions,Pune,29 Apr 2016,Twenty20
Shubman Gill,101,100,58,13,1,174.13,GT,v SRH,Ahmedabad,15 May 2023,Twenty20
SR Tendulkar,100*,-,66,12,3,151.51,MI,v Kochi,Wankhede,15 Apr 2011,Twenty20
SK Raina,100*,82,53,7,6,188.67,CSK,v Kings XI,Chennai,02 May 2013,Twenty20
LMP Simmons,100*,86,61,14,2,163.93,MI,v Kings XI,Mohali,21 May 2014,Twenty20
BB McCullum,100*,97,56,7,9,178.57,CSK,v SRH,Chennai,11 Apr 2015,Twenty20
V Kohli,100*,88,63,11,1,158.73,RCB,v Guj Lions,Rajkot,24 Apr 2016,Twenty20
AT Rayudu,100*,-,62,7,7,161.29,CSK,v SRH,Pune,13 May 2018,Twenty20
DA Warner,100*,98,55,5,5,181.81,SRH,v RCB,Hyderabad,31 Mar 2019,Twenty20
KL Rahul,100*,110,64,6,6,156.25,Kings XI,v MI,Wankhede,10 Apr 2019,Twenty20
HC Brook,100*,99,55,12,3,181.81,SRH,v KKR,Eden Gardens,14 Apr 2023,Twenty20
C Green,100*,85,47,8,8,212.76,MI,v SRH,Wankhede,21 May 2023,Twenty20
JC Buttler,100*,95,58,9,4,172.41,RR,v RCB,Jaipur,06 Apr 2024,Twenty20
WG Jacks,100*,50,41,5,10,243.9,RCB,v GT,Ahmedabad,28 Apr 2024,Twenty20
YK Pathan,100,-,37,9,8,270.27,RR,v MI,Brabourne,13 Mar 2010,Twenty20
V Kohli,100,98,58,9,4,172.41,RCB,v KKR,Eden Gardens,19 Apr 2019,Twenty20
