Partners,Runs,Wickets,Team,Opposition,Ground,Match Date,Scorecard
"V Kohli, AB de Villiers",229,2nd,RCB,v Guj Lions,Bengaluru,14 May 2016,Twenty20
"V Kohli, AB de Villiers",215*,2nd,RCB,v MI,Wankhede,10 May 2015,Twenty20
"KL Rahul, Q de Kock",210*,1st,LSG,v KKR,DY Patil,18 May 2022,Twenty20
"Shubman Gill, B Sai Sudharsan",210,1st,GT,v CSK,Ahmedabad,10 May 2024,Twenty20
"SE Marsh, AC Gilchrist",206,2nd,Kings XI,v RCB,Dharamsala,17 May 2011,Twenty20
"V Kohli, CH Gayle",204*,2nd,RCB,v Daredevils,Delhi,17 May 2012,Twenty20
"DA Warner, NV Ojha",189*,2nd,Daredevils,v Chargers,Hyderabad,10 May 2012,Twenty20
"DA Warner, JM Bairstow",185,1st,SRH,v RCB,Hyderabad,31 Mar 2019,Twenty20
"CA Lynn, G Gambhir",184*,1st,KKR,v Guj Lions,Rajkot,7 Apr 2017,Twenty20
"KL Rahul, MA Agarwal",183,1st,Kings XI,v RR,Sharjah,27 Sep 2020,Twenty20
"RD Gaikwad, DP Conway",182,1st,CSK,v SRH,Pune,1 May 2022,Twenty20
"SR Watson, F du Plessis",181*,1st,CSK,v Kings XI,Dubai (DICS),4 Oct 2020,Twenty20
"D Padikkal, V Kohli",181*,1st,RCB,v RR,Wankhede,22 Apr 2021,Twenty20
"KS Williamson, S Dhawan",176*,2nd,SRH,v Daredevils,Delhi,10 May 2018,Twenty20
"V Kohli, F du Plessis",172,1st,RCB,v SRH,Hyderabad,18 May 2023,Twenty20
"RG Sharma, HH Gibbs",167*,2nd,MI,v KKR,Eden Gardens,12 May 2012,Twenty20
"TM Head, Abhishek Sharma",167*,1st,SRH,v LSG,Hyderabad,8 May 2024,Twenty20
"CH Gayle, TM Dilshan",167,1st,RCB,v Warriors,Bengaluru,23 Apr 2013,Twenty20
"V Kohli, WG Jacks",166*,2nd,RCB,v GT,Ahmedabad,28 Apr 2024,Twenty20
"RV Uthappa, S Dube",165,3rd,CSK,v RCB,DY Patil,12 Apr 2022,Twenty20
"SR Tendulkar, DR Smith",163*,1st,MI,v RR,Jaipur,20 May 2012,Twenty20
"DA Warner, JM Bairstow",160,1st,SRH,v Kings XI,Dubai (DICS),8 Oct 2020,Twenty20
"M Vijay, MEK Hussey",159,1st,CSK,v RCB,Chennai,28 May 2011,Twenty20
"RV Uthappa, G Gambhir",158,2nd,KKR,v Supergiant,Pune,26 Apr 2017,Twenty20
"CL White, KC Sangakkara",157,3rd,Chargers,v Warriors,Cuttack,1 May 2012,Twenty20
"V Kohli, AB de Villiers",157,2nd,RCB,v SRH,Bengaluru,12 Apr 2016,Twenty20
"VVS Laxman, AC Gilchrist",155*,1st,Chargers,v MI,DY Patil,27 Apr 2008,Twenty20
"V Kohli, AB de Villiers",155,2nd,RCB,v Supergiants,Pune,22 Apr 2016,Twenty20
"D Padikkal, JC Buttler",155,1st,RR,v DC,Wankhede,22 Apr 2022,Twenty20
"SS Iyer, JP Duminy",154,2nd,Daredevils,v MI,Delhi,23 Apr 2015,Twenty20
"JH Kallis, G Gambhir",152*,2nd,KKR,v RR,Jaipur,15 Apr 2011,Twenty20
"BA Stokes, SV Samson",152*,3rd,RR,v MI,Abu Dhabi,25 Oct 2020,Twenty20
"M Vijay, JA Morkel",152,3rd,CSK,v RR,Chennai,3 Apr 2010,Twenty20
"DA Warner, WP Saha",151*,1st,SRH,v MI,Sharjah,3 Nov 2020,Twenty20
"V Sehwag, DPMD Jayawardene",151,1st,Daredevils,v MI,Delhi,21 Apr 2013,Twenty20
"SV Samson, JC Buttler",150,2nd,RR,v SRH,Delhi,2 May 2021,Twenty20
"SE Marsh, Azhar Mahmood",148,3rd,Kings XI,v MI,Dharamsala,18 May 2013,Twenty20
"V Kohli, F du Plessis",148,1st,RCB,v MI,Bengaluru,2 Apr 2023,Twenty20
"SV Samson, JC Buttler",148,2nd,RR,v RCB,Jaipur,6 Apr 2024,Twenty20
"V Kohli, CH Gayle",147,1st,RCB,v Kings XI,Bengaluru,18 May 2016,Twenty20
"Shubman Gill, B Sai Sudharsan",147,2nd,GT,v SRH,Ahmedabad,15 May 2023,Twenty20
"DA Warner, V Sehwag",146,1st,Daredevils,v Kings XI,Delhi,23 Apr 2011,Twenty20
"RV Uthappa, MK Pandey",145*,3rd,Warriors,v Daredevils,Pune,24 Apr 2012,Twenty20
"SR Watson, AM Rahane",144,1st,RR,v CSK,Ahmedabad,19 Apr 2015,Twenty20
"SO Hetmyer, Gurkeerat Singh",144,4th,RCB,v SRH,Bengaluru,4 May 2019,Twenty20
"DA Warner, MR Marsh",144,2nd,DC,v RR,DY Patil,11 May 2022,Twenty20
"SA Yadav, NT Tilak Varma",143*,4th,MI,v SRH,Wankhede,6 May 2024,Twenty20
"SV Samson, RR Pant",143,2nd,Daredevils,v Guj Lions,Delhi,4 May 2017,Twenty20
