Team,Score,Overs,RR,Inns,Opposition,Ground,Result,Match Date,Scorecard
SRH,287/3,20.0,14.35,1,v RCB,Bengaluru,won,15 Apr 2024,Twenty20
SRH,277/3,20.0,13.85,1,v MI,Hyderabad,won,27 Mar 2024,Twenty20
KKR,272/7,20.0,13.6,1,v DC,Visakhapatnam,won,3 Apr 2024,Twenty20
SRH,266/7,20.0,13.3,1,v DC,Delhi,won,20 Apr 2024,Twenty20
RCB,263/5,20.0,13.15,1,v Warriors,Bengaluru,won,23 Apr 2013,Twenty20
Punjab Kings,262/2,18.4,14.03,2,v KKR,Eden Gardens,won,26 Apr 2024,Twenty20
RCB,262/7,20.0,13.1,2,v SRH,Bengaluru,lost,15 Apr 2024,Twenty20
KKR,261/6,20.0,13.05,1,v Punjab Kings,Eden Gardens,lost,26 Apr 2024,Twenty20
DC,257/4,20.0,12.85,1,v MI,Delhi,won,27 Apr 2024,Twenty20
LSG,257/5,20.0,12.85,1,v Punjab Kings,Mohali,won,28 Apr 2023,Twenty20
RCB,248/3,20.0,12.4,1,v Guj Lions,Bengaluru,won,14 May 2016,Twenty20
MI,247/9,20.0,12.35,2,v DC,Delhi,lost,27 Apr 2024,Twenty20
CSK,246/5,20.0,12.3,1,v RR,Chennai,won,3 Apr 2010,Twenty20
MI,246/5,20.0,12.3,2,v SRH,Hyderabad,lost,27 Mar 2024,Twenty20
KKR,245/6,20.0,12.25,1,v Kings XI,Indore,won,12 May 2018,Twenty20
RCB,241/7,20.0,12.05,1,v Punjab Kings,Dharamsala,won,9 May 2024,Twenty20
CSK,240/5,20.0,12.0,1,v Kings XI,Mohali,won,19 Apr 2008,Twenty20
CSK,235/4,20.0,11.75,1,v KKR,Eden Gardens,won,23 Apr 2023,Twenty20
RCB,235/1,20.0,11.75,1,v MI,Wankhede,won,10 May 2015,Twenty20
MI,235/9,20.0,11.75,1,v SRH,Abu Dhabi,won,8 Oct 2021,Twenty20
KKR,235/6,20.0,11.75,1,v LSG,Lucknow,won,5 May 2024,Twenty20
MI,234/5,20.0,11.7,1,v DC,Wankhede,won,7 Apr 2024,Twenty20
GT,233/3,20.0,11.65,1,v MI,Ahmedabad,won,26 May 2023,Twenty20
KKR,232/2,20.0,11.6,1,v MI,Eden Gardens,won,28 Apr 2019,Twenty20
Kings XI,232/2,20.0,11.6,1,v RCB,Dharamsala,won,17 May 2011,Twenty20
Daredevils,231/4,20.0,11.55,1,v Kings XI,Delhi,won,23 Apr 2011,Twenty20
Kings XI,231/4,20.0,11.55,1,v CSK,Cuttack,won,7 May 2014,Twenty20
GT,231/3,20.0,11.55,1,v CSK,Ahmedabad,won,10 May 2024,Twenty20
SRH,231/2,20.0,11.55,1,v RCB,Hyderabad,won,31 Mar 2019,Twenty20
Kings XI,230/3,20.0,11.5,1,v MI,Wankhede,won,11 May 2017,Twenty20
SRH,228/4,20.0,11.4,1,v KKR,Eden Gardens,won,14 Apr 2023,Twenty20
DC,228/4,20.0,11.4,1,v KKR,Sharjah,won,3 Oct 2020,Twenty20
RCB,227/4,20.0,11.35,1,v SRH,Bengaluru,won,12 Apr 2016,Twenty20
GT,227/2,20.0,11.35,1,v LSG,Ahmedabad,won,7 May 2023,Twenty20
RR,226/6,19.3,11.58,2,v Kings XI,Sharjah,won,27 Sep 2020,Twenty20
RCB,226/3,20.0,11.3,1,v Kings XI,Bengaluru,won,6 May 2015,Twenty20
CSK,226/6,20.0,11.3,1,v RCB,Bengaluru,won,17 Apr 2023,Twenty20
Kings XI,226/6,20.0,11.3,1,v CSK,Wankhede,won,30 May 2014,Twenty20
RR,224/8,20.0,11.2,2,v KKR,Eden Gardens,won,16 Apr 2024,Twenty20
DC,224/4,20.0,11.2,1,v GT,Delhi,won,24 Apr 2024,Twenty20
RR,223/5,20.0,11.15,2,v CSK,Chennai,lost,3 Apr 2010,Twenty20
KKR,223/6,20.0,11.15,1,v RR,Eden Gardens,lost,16 Apr 2024,Twenty20
CSK,223/3,20.0,11.15,1,v DC,Delhi,won,20 May 2023,Twenty20
MI,223/6,20.0,11.15,2,v Kings XI,Wankhede,lost,11 May 2017,Twenty20
Kings XI,223/2,20.0,11.15,1,v RR,Sharjah,lost,27 Sep 2020,Twenty20
CSK,223/3,20.0,11.15,1,v SRH,Hyderabad,won,8 May 2013,Twenty20
CSK,222/5,20.0,11.1,1,v Daredevils,Chennai,won,25 May 2012,Twenty20
KKR,222/6,20.0,11.1,1,v RCB,Eden Gardens,won,21 Apr 2024,Twenty20
KKR,222/3,20.0,11.1,1,v RCB,Bengaluru,won,18 Apr 2008,Twenty20
RR,222/2,20.0,11.1,1,v DC,Wankhede,won,22 Apr 2022,Twenty20
RCB,221,20.0,11.05,2,v KKR,Eden Gardens,lost,21 Apr 2024,Twenty20
DC,221/8,20.0,11.05,1,v RR,Delhi,won,7 May 2024,Twenty20
Punjab Kings,221/6,20.0,11.05,1,v RR,Wankhede,won,12 Apr 2021,Twenty20
Kings XI,221/3,20.0,11.05,1,v RR,Mohali,won,28 May 2008,Twenty20
RR,220/3,20.0,11.0,1,v SRH,Delhi,won,2 May 2021,Twenty20
GT,220/8,20.0,11.0,2,v DC,Delhi,lost,24 Apr 2024,Twenty20
CSK,220/3,20.0,11.0,1,v KKR,Wankhede,won,21 Apr 2021,Twenty20
Daredevils,219/4,20.0,10.95,1,v KKR,Delhi,won,27 Apr 2018,Twenty20
MI,219/6,20.0,10.95,2,v CSK,Delhi,won,1 May 2021,Twenty20
SRH,219/2,20.0,10.95,1,v DC,Dubai (DICS),won,27 Oct 2020,Twenty20
KKR,218/4,20.0,10.9,1,v Kings XI,Eden Gardens,won,27 Mar 2019,Twenty20
MI,218/7,20.0,10.9,1,v Daredevils,Delhi,won,17 Mar 2010,Twenty20
CSK,218/4,20.0,10.9,1,v MI,Delhi,lost,1 May 2021,Twenty20
RCB,218/6,20.0,10.9,1,v SRH,Bengaluru,won,17 May 2018,Twenty20
RCB,218/8,20.0,10.9,2,v CSK,Bengaluru,lost,17 Apr 2023,Twenty20
