Player,Span,Mat,Inns,Ct,Max,Ct/Inn
V Kohli (RCB),2008-2024,252,250,114,3,0.456
SK Raina (CSK/GL),2008-2021,205,204,109,3,0.534
KA Pollard (MI),2010-2022,189,189,103,2,0.544
RA Jadeja (CSK/GL/Kochi/RR),2008-2024,240,239,103,4,0.43
RG Sharma (DCH/MI),2008-2024,257,257,101,3,0.392
S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,222,99,3,0.445
AB de Villiers (DC/RCB),2008-2021,184,130,90,3,0.692
DA Warner (DC/SRH),2009-2024,184,183,86,4,0.469
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2024,171,171,83,3,0.485
F du Plessis (CSK/RCB/RPS),2012-2024,145,144,81,4,0.562
DJ Bravo (CSK/GL/MI),2008-2022,161,160,80,3,0.5
DA Miller (GT/KXIP/RR),2012-2024,130,130,75,4,0.576
AR Patel (DC/KXIP),2014-2024,150,150,72,3,0.48
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2024,185,185,70,2,0.378
HH Pandya (GT/MI),2015-2024,137,137,69,3,0.503
SA Yadav (KKR/MI),2012-2024,150,150,68,3,0.453
MA Agarwal (DC/KXIP/PBKS/RCB/RPS/SRH),2011-2024,127,126,58,2,0.46
SPD Smith (DC/PWI/RPS/RR),2012-2021,103,103,53,3,0.514
DJ Hooda (KXIP/LSG/PBKS/RR/SRH),2015-2024,118,118,52,3,0.44
AT Rayudu (CSK/MI),2010-2023,204,184,51,3,0.277
SS Iyer (DC/KKR),2015-2024,116,115,49,2,0.426
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,163,49,2,0.3
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2024,212,210,48,2,0.228
M Vijay (CSK/DC/KXIP),2009-2020,106,106,47,2,0.443
GJ Maxwell (DC/KXIP/MI/RCB),2012-2024,134,134,47,3,0.35
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,98,46,3,0.469
KH Pandya (LSG/MI),2016-2024,127,126,46,2,0.365
Rashid Khan (GT/SRH),2017-2024,121,121,43,3,0.355
YK Pathan (KKR/RR/SRH),2008-2019,174,174,43,2,0.247
PP Chawla (CSK/KKR/KXIP/MI),2008-2024,192,192,43,3,0.223
DR Smith (CSK/DCH/GL/MI),2008-2017,91,91,41,2,0.45
KS Williamson (GT/SRH),2015-2024,79,79,40,2,0.506
SR Watson (CSK/RCB/RR),2008-2020,145,145,40,2,0.275
CH Morris (CSK/DC/RCB/RR),2013-2021,81,81,38,2,0.469
R Tewatia (DC/GT/KXIP/RR),2014-2024,93,93,38,4,0.408
Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,111,110,38,3,0.345
UT Yadav (DC/GT/KKR/RCB),2010-2024,148,147,38,2,0.258
R Parag (RR),2019-2024,70,69,37,4,0.536
Shubman Gill (GT/KKR),2018-2024,103,103,37,2,0.359
RD Gaikwad (CSK),2020-2024,66,66,36,2,0.545
EJG Morgan (KKR/KXIP/RCB/SRH),2010-2021,83,83,36,3,0.433
AD Russell (DC/KKR),2012-2024,127,126,36,2,0.285
JC Buttler (MI/RR),2016-2024,107,77,35,3,0.454
R Vinay Kumar (KKR/Kochi/MI/RCB),2008-2018,105,104,35,2,0.336
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,205,91,34,3,0.373
TA Boult (DC/KKR/MI/RR/SRH),2015-2024,104,103,34,3,0.33
V Sehwag (DC/KXIP),2008-2015,104,104,34,3,0.326
RA Tripathi (KKR/RPS/RR/SRH),2017-2024,95,95,33,3,0.347
B Kumar (PWI/SRH),2011-2024,176,176,33,2,0.187
SP Narine (KKR),2012-2024,177,176,33,2,0.187
SO Hetmyer (DC/RCB/RR),2019-2024,72,72,32,3,0.444
DPMD Jayawardene (DC/Kochi/KXIP),2008-2013,80,80,32,2,0.4
SN Thakur (CSK/DC/KKR/KXIP/RPS),2015-2024,95,95,32,2,0.336
JH Kallis (KKR/RCB),2008-2014,98,98,31,4,0.316
IK Pathan (DC/GL/KXIP/RPS/SRH),2008-2017,103,102,31,3,0.303
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,132,31,2,0.234
K Rabada (DC/PBKS),2017-2024,80,80,30,3,0.375
JP Duminy (DC/DCH/MI),2009-2018,83,83,30,3,0.361
YS Chahal (MI/RCB/RR),2013-2024,160,159,30,3,0.188
RK Singh (KKR),2018-2024,46,45,29,4,0.644
V Shankar (CSK/DC/GT/SRH),2014-2024,72,72,29,2,0.402
RP Singh (DCH/Kochi/MI/RCB/RPS),2008-2016,82,82,29,3,0.353
Mohammed Siraj (RCB/SRH),2017-2024,93,93,29,2,0.311
CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,140,29,2,0.207
DT Christian (DC/DCH/RCB/RPS),2011-2021,49,49,28,3,0.571
MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,62,28,2,0.451
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,92,28,2,0.304
MM Sharma (CSK/DC/GT/KXIP),2013-2024,112,112,28,2,0.25
G Gambhir (DC/KKR),2008-2018,154,154,28,2,0.181
Abdul Samad (SRH),2020-2024,50,50,27,3,0.54
D Padikkal (LSG/RCB/RR),2020-2024,64,64,27,3,0.421
MEK Hussey (CSK/MI),2008-2015,59,59,26,2,0.44
SE Marsh (KXIP),2008-2017,71,71,26,2,0.366
AK Markram (PBKS/SRH),2021-2024,44,44,25,3,0.568
DJ Hussey (CSK/KKR/KXIP),2008-2014,64,64,25,3,0.39
BB McCullum (CSK/GL/KKR/Kochi/RCB),2008-2018,109,91,25,2,0.274
SS Tiwary (DC/MI/RCB/RPS),2008-2021,93,92,25,3,0.271
R Bhatia (DC/KKR/RPS/RR),2008-2017,95,95,25,2,0.263
HV Patel (DC/PBKS/RCB),2012-2024,106,104,25,2,0.24
JD Unadkat (DC/KKR/LSG/MI/RCB/RPS/RR/SRH),2010-2024,105,105,25,3,0.238
DW Steyn (DCH/GL/RCB/SRH),2008-2020,95,95,24,2,0.252
MP Stoinis (DC/KXIP/LSG/RCB),2016-2024,96,95,24,2,0.252
N Rana (KKR/MI),2016-2024,107,107,24,2,0.224
NT Tilak Varma (MI),2022-2024,38,38,23,2,0.605
BA Stokes (CSK/RPS/RR),2017-2023,45,45,23,2,0.511
TG Southee (CSK/KKR/MI/RCB/RR),2011-2023,54,54,23,3,0.425
SV Samson (DC/RR),2013-2024,168,59,23,3,0.389
KK Nair (DC/KXIP/RCB/RR),2013-2022,76,76,23,3,0.302
RD Chahar (MI/PBKS/RPS),2017-2024,78,78,23,2,0.294
SR Tendulkar (MI),2008-2013,78,78,23,4,0.294
A Mishra (DC/DCH/LSG/SRH),2008-2024,162,162,23,2,0.141
HH Gibbs (DCH/MI),2008-2012,36,36,22,2,0.611
TH David (MI/RCB),2021-2024,38,38,22,4,0.578
