Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
YS Chahal (MI/RCB/RR),2013-2024,160,159,3521,586.5,4,4602,205,5/40,22.44,7.84,17.17,6,1
PP Chawla (CSK/KKR/KXIP/MI),2008-2024,192,191,3850,641.4,2,5108,192,4/17,26.6,7.96,20.05,2,-
DJ Bravo (CSK/GL/MI),2008-2022,161,158,3119,519.5,3,4360,183,4/22,23.82,8.38,17.04,2,-
B Kumar (PWI/SRH),2011-2024,176,176,3910,651.4,14,4929,181,5/19,27.23,7.56,21.6,2,2
SP Narine (KKR),2012-2024,177,175,4075,679.1,3,4571,180,5/19,25.39,6.73,22.63,7,1
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2024,212,208,4524,754.0,4,5369,180,4/34,29.82,7.12,25.13,1,-
A Mishra (DC/DCH/LSG/SRH),2008-2024,162,162,3371,561.5,6,4145,174,5/17,23.82,7.37,19.37,4,1
SL Malinga (MI),2009-2019,122,122,2827,471.1,8,3365,170,5/13,19.79,7.14,16.62,6,1
JJ Bumrah (MI),2013-2024,133,133,3053,508.5,8,3715,165,5/10,22.51,7.3,18.5,2,2
RA Jadeja (CSK/GL/Kochi/RR),2008-2024,240,211,3829,638.1,2,4864,160,5/16,30.4,7.62,23.93,3,1
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,160,3416,569.2,6,4030,150,5/18,26.86,7.07,22.77,1,1
Rashid Khan (GT/SRH),2017-2024,121,121,2859,476.3,4,3252,149,4/24,21.82,6.82,19.18,2,-
UT Yadav (DC/GT/KKR/RCB),2010-2024,148,147,3050,508.2,5,4317,144,4/23,29.97,8.49,21.18,3,-
Sandeep Sharma (KXIP/PBKS/RR/SRH),2013-2024,127,126,2822,470.2,8,3709,137,5/18,27.07,7.88,20.59,2,1
HV Patel (DC/PBKS/RCB),2012-2024,106,103,2161,360.1,2,3149,135,5/27,23.32,8.74,16.0,2,1
MM Sharma (CSK/DC/GT/KXIP),2013-2024,112,111,2253,375.3,-,3256,132,5/10,24.66,8.67,17.06,3,1
Mohammed Shami (DC/GT/KKR/KXIP/PBKS),2013-2023,110,110,2426,404.2,3,3412,127,4/11,26.86,8.43,19.1,2,-
AR Patel (DC/KXIP),2014-2024,150,148,3099,516.3,2,3758,123,4/21,30.55,7.27,25.19,1,-
TA Boult (DC/KKR/MI/RR/SRH),2015-2024,104,103,2337,389.3,11,3230,121,4/18,26.69,8.29,19.31,1,-
K Rabada (DC/PBKS),2017-2024,80,80,1818,303.0,2,2570,117,4/21,21.96,8.48,15.53,6,-
AD Russell (DC/KKR),2012-2024,127,112,1697,282.5,-,2646,115,5/15,23.0,9.35,14.75,2,1
A Nehra (CSK/DC/MI/PWI/SRH),2008-2017,88,88,1908,318.0,2,2495,106,4/10,23.53,7.84,18.0,1,-
R Vinay Kumar (KKR/Kochi/MI/RCB),2008-2018,105,104,2122,353.4,1,2966,105,4/40,28.24,8.38,20.2,1,-
Z Khan (DC/MI/RCB),2008-2017,100,99,2200,366.4,5,2782,102,4/17,27.27,7.58,21.56,1,-
JD Unadkat (DC/KKR/LSG/MI/RCB/RPS/RR/SRH),2010-2024,105,104,2131,355.1,3,3189,99,5/25,32.21,8.97,21.52,-,2
DW Steyn (DCH/GL/RCB/SRH),2008-2020,95,95,2176,362.4,7,2508,97,3/8,25.85,6.91,22.43,-,-
CH Morris (CSK/DC/RCB/RR),2013-2021,81,81,1720,286.4,1,2295,95,4/23,24.15,8.0,18.1,4,-
SN Thakur (CSK/DC/KKR/KXIP/RPS),2015-2024,95,92,1866,311.0,3,2869,94,4/36,30.52,9.22,19.85,1,-
Mohammed Siraj (RCB/SRH),2017-2024,93,93,1958,326.2,4,2822,93,4/21,30.34,8.64,21.05,2,-
SR Watson (CSK/RCB/RR),2008-2020,145,105,2029,338.1,3,2682,92,4/29,29.15,7.93,22.05,1,-
I Sharma (DC/DCH/KKR/KXIP/RPS/SRH),2008-2024,110,110,2309,384.5,6,3172,92,5/12,34.47,8.24,25.09,-,1
