Team,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
Chennai Super Kings,2008-2024,239,138,98,0,0,0,1,2,1.408,57.74,41.0,0.0,58.43
Deccan Chargers,2008-2012,75,29,46,0,0,0,0,0,0.63,38.66,61.33,0.0,38.66
Delhi Capitals,2008-2024,252,112,134,0,0,3,1,2,0.835,44.44,53.17,0.0,45.6
Gujarat Lions,2016-2017,30,13,16,0,0,0,1,0,0.812,43.33,53.33,0.0,45.0
Gujarat Titans,2022-2024,45,28,17,0,0,0,0,0,1.647,62.22,37.77,0.0,62.22
Kochi Tuskers Kerala,2011-2011,14,6,8,0,0,0,0,0,0.75,42.85,57.14,0.0,42.85
Kolkata Knight Riders,2008-2024,252,130,117,0,0,1,3,1,1.111,51.58,46.42,0.0,52.58
Lucknow Super Giants,2022-2024,44,24,19,0,0,0,0,1,1.263,54.54,43.18,0.0,55.81
Mumbai Indians,2008-2024,261,142,115,0,0,2,2,0,1.234,54.4,44.06,0.0,55.17
Pune Warriors,2011-2013,46,12,33,0,0,0,0,1,0.363,26.08,71.73,0.0,26.66
Punjab Kings,2008-2024,246,109,133,0,0,3,1,0,0.819,44.3,54.06,0.0,45.12
Rajasthan Royals,2008-2024,222,110,106,0,0,2,1,3,1.037,49.54,47.74,0.0,50.91
Rising Pune Supergiant,2016-2017,30,15,15,0,0,0,0,0,1.0,50.0,50.0,0.0,50.0
Royal Challengers Bengaluru,2008-2024,256,121,128,0,0,2,1,4,0.945,47.26,50.0,0.0,48.61
Sunrisers Hyderabad,2013-2024,182,87,91,0,0,1,3,0,0.956,47.8,50.0,0.0,48.9
